epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.28154,2.51905,6.32223,2.71228,0,0,0,0,0,16.1374,0,0,0,0
2,2.44044,2.78382,6.29999,2.88893,0,0,0,0,0,16.1508,0,1.9604e-05,1.9604e-05,1.9604e-05
3,3.58438,3.84546,12.1836,3.18552,0,0,0,0,0,16.1685,0,3.8416e-05,3.8416e-05,3.8416e-05
4,4.70339,5.05839,18.1015,3.3307,0,0,0,0,0,16.191,0,5.6436e-05,5.6436e-05,5.6436e-05
5,5.94706,3.35299,5.15134,2.80519,0,0,0,0,0,16.2082,0,7.3664e-05,7.3664e-05,7.3664e-05
6,7.18974,4.21174,5.32996,2.80706,0,0,0,0,0,16.2276,0,9.01e-05,9.01e-05,9.01e-05
7,8.72463,3.62776,5.43739,2.30635,0,0,0,0,0,16.2529,0,0.000105744,0.000105744,0.000105744
8,10.1618,1.95259,6.85403,1.8642,0,0,0,0,0,16.2627,0,0.000120596,0.000120596,0.000120596
9,11.2589,2.34811,4.97836,2.01507,0,0,0,0,0,16.272,0,0.000134656,0.000134656,0.000134656
10,12.4746,2.78813,4.35162,1.88803,0,0,0,0,0,16.2801,0,0.000147924,0.000147924,0.000147924
11,14.196,1.5248,4.28222,1.57893,0,0,0,0,0,16.2658,0,0.0001604,0.0001604,0.0001604
12,15.315,2.09833,4.11394,1.89679,0,0,0,0,0,16.2477,0,0.000172084,0.000172084,0.000172084
13,16.82,2.21571,4.16277,1.81761,0,0,0,0,0,16.2183,0,0.000182976,0.000182976,0.000182976
14,17.924,1.46175,4.52856,1.21817,0,0,0,0,0,16.1849,0,0.000193076,0.000193076,0.000193076
15,19.2465,1.82005,4.07677,1.54986,0,0,0,0,0,16.149,0,0.000202384,0.000202384,0.000202384
16,20.5849,0.94441,3.81516,1.10726,0,0,0,0,0,16.1008,0,0.0002109,0.0002109,0.0002109
17,21.676,1.24115,2.94493,1.17839,0,0,0,0,0,16.0312,0,0.000218624,0.000218624,0.000218624
18,22.7461,2.16618,3.80153,1.56178,0,0,0,0,0,16.0312,0,0.000225556,0.000225556,0.000225556
19,23.8671,0.88406,2.91112,1.1741,0,0,0,0,0,15.906,0,0.000231696,0.000231696,0.000231696
20,24.9153,1.69426,3.2469,1.67365,0,0,0,0,0,15.906,0,0.000237044,0.000237044,0.000237044
21,26.0124,2.47735,5.09707,1.7681,0,0,0,0,0,15.7409,0,0.0002416,0.0002416,0.0002416
22,27.0476,0.94615,2.60876,1.01597,0,0,0,0,0,15.7409,0,0.000245364,0.000245364,0.000245364
23,28.1118,1.83208,2.92021,1.16696,0,0,0,0,0,15.562,0,0.000248336,0.000248336,0.000248336
24,29.1839,0.82286,2.08733,0.87573,0,0,0,0,0,15.562,0,0.000250516,0.000250516,0.000250516
25,30.265,1.02138,2.73403,1.06297,0,0,0,0,0,15.3948,0,0.000251904,0.000251904,0.000251904
26,31.2883,0.73356,1.8429,0.93642,0,0,0,0,0,15.3948,0,0.0002525,0.0002525,0.0002525
27,32.3684,1.36609,3.49699,1.23397,0,0,0,0,0,15.249,0,0.000252304,0.000252304,0.000252304
28,33.4754,1.05857,2.64238,1.01157,0,0,0,0,0,15.249,0,0.000251316,0.000251316,0.000251316
29,34.5795,1.49234,1.9925,1.09328,0,0,0,0,0,15.1461,0,0.000249536,0.000249536,0.000249536
30,35.7992,1.19153,1.72708,1.06403,0,0,0,0,0,15.1461,0,0.000246964,0.000246964,0.000246964
31,37.0788,0.69034,1.88151,0.92752,0,0,0,0,0,15.0628,0,0.0002436,0.0002436,0.0002436
32,38.3095,0.76718,3.62199,1.03786,0,0,0,0,0,15.0628,0,0.000239444,0.000239444,0.000239444
33,39.4285,1.21671,1.57709,1.25336,0,0,0,0,0,15.0156,0,0.000234496,0.000234496,0.000234496
34,40.5246,0.99235,2.13535,0.99818,0,0,0,0,0,15.0156,0,0.000228756,0.000228756,0.000228756
35,42.0814,1.4984,2.19615,1.22271,0,0,0,0,0,14.9616,0,0.000222224,0.000222224,0.000222224
36,43.2503,1.09947,1.5041,1.16834,0,0,0,0,0,14.9616,0,0.0002149,0.0002149,0.0002149
37,44.9148,1.40476,1.98055,1.23625,0,0,0,0,0,14.9098,0,0.000206784,0.000206784,0.000206784
38,46.5036,1,1.80227,1.01066,0,0,0,0,0,14.9098,0,0.000197876,0.000197876,0.000197876
39,47.5897,0.92952,2.11977,1.09515,0,0,0,0,0,14.8839,0,0.000188176,0.000188176,0.000188176
40,48.7695,0.75592,2.18066,0.95802,0,0,0,0,0,14.8839,0,0.000177684,0.000177684,0.000177684
41,50.3026,0.76646,1.89319,0.95035,0,0,0,0,0,14.8883,0,0.0001664,0.0001664,0.0001664
42,51.7298,1.0835,2.07345,1.00968,0,0,0,0,0,14.8883,0,0.000154324,0.000154324,0.000154324
43,53.3255,0.93383,1.9906,1.01322,0,0,0,0,0,14.8619,0,0.000141456,0.000141456,0.000141456
44,54.4745,0.85333,1.83856,1.0281,0,0,0,0,0,14.8619,0,0.000127796,0.000127796,0.000127796
45,55.6902,0.71258,2.13205,0.88223,0,0,0,0,0,14.7866,0,0.000113344,0.000113344,0.000113344
46,56.7813,0.80383,1.9653,0.87049,0,0,0,0,0,14.7866,0,9.81e-05,9.81e-05,9.81e-05
47,58.1496,0.7962,1.90422,0.84837,0,0,0,0,0,14.745,0,8.2064e-05,8.2064e-05,8.2064e-05
48,59.4003,0.54225,2.05701,0.70704,0,0,0,0,0,14.745,0,6.5236e-05,6.5236e-05,6.5236e-05
49,60.7068,0.74844,1.5698,0.93353,0,0,0,0,0,14.7132,0,4.7616e-05,4.7616e-05,4.7616e-05
50,61.8467,0.84215,1.85401,0.86899,0,0,0,0,0,14.7132,0,2.9204e-05,2.9204e-05,2.9204e-05
